Quiz,Question,Answer,Explain
,"Ảo hóa hiện thực ở các mức độ nào:
a. Hardware
b. Virtualized instance (máy ảo chi tiết)
c. Software
d. Virtualization layer (Lớp ảo hóa)","Virtualized instance (máy ảo chi tiết), Virtualization layer (Lớp ảo hóa), Hardware",
,"Ảo hóa mức độ hệ thống phục vụ cho
a. protocol developer
b. library developer
c. compiler developer
d. infrastructure developer","compiler developer, library developer",
,"You recommend a system to use:
1. IOT Hub to consume the data
2. Azure Stream Analytics to process the fraud alerts
3. Azure Synapse SQL pool to store the monthly data and generate the reports
4. Power BI to display the monthly report
Select one:
True
False","""True""","- IOT Hub can be used to consume real-time data and feed it to Azure Stream Analytics.
- Stream Analytics can perform real-time fraud detection and store the aggregated results in Synapse SQL pool.
- Synapse SQL pool can store petabytes of data for longer durations to generate reports.
- Power BI can graphically display both the real-time alerts and monthly reports. 
=> So, this is the right set of options."
,"You are the architect of a cab company. You are designing the schema to store trip information. You have a large fact table that has a billion rows. You have dimension tables in the range of 500–600 MB and you have daily car health data in the range of 50 GB. The car health data needs to be loaded into a staging table as quickly as possible. What distributions would you choose for each of these types of data?
A – Fact table
B – Dimension tables
C – Staging table

Replicated
Round Robin
Hash","Replicated
→ Dimension tables,
Round Robin
→ Staging table,
Hash
→ Fact table","A – Fact table (billion rows) → Hash
→ Phân phối theo khóa (ví dụ TripID) giúp join nhanh và scale tốt với dữ liệu rất lớn.

B – Dimension tables (500–600 MB) → Replicated
→ Bản sao dimension có trên mọi node, tránh data movement khi join với fact table.

C – Staging table (50 GB, load nhanh) → Round Robin
→ Phân phối ngẫu nhiên, load nhanh nhất, không tốn chi phí tính toán hash."
,"Ảo hóa mức độ phần cứng bằng module:
a. translator
b. executor
c. emulator
d. hypervisor",hypervisor,"a. translator (Sai) → Dùng để dịch lệnh, không trực tiếp quản lý ảo hóa phần cứng.
b. executor (Sai) → Không phải module ảo hóa.
c. emulator (Sai) → Mô phỏng phần cứng, khác với ảo hóa phần cứng.
d. hypervisor (Đúng) → Module thực hiện ảo hóa mức phần cứng, quản lý và chạy máy ảo."
,"What is Azure File Sync primarily used for?
a. Database synchronization
b. Synchronizing virtual machines
c. Synchronizing emails
d. Synchronizing files across servers",Synchronizing files across servers,"a. Database synchronization: Sai. Việc đồng bộ cơ sở dữ liệu thường sử dụng SQL Data Sync hoặc các tính năng Replication của DB.
b. Synchronizing virtual machines: Sai. Để đồng bộ hoặc sao lưu máy ảo, Azure sử dụng Azure Site Recovery hoặc Azure Backup.
c. Synchronizing emails: Sai. Đây là nhiệm vụ của Microsoft Exchange hoặc Outlook.
d. Synchronizing files across servers: ĐÚNG. Azure File Sync cho phép bạn tập trung các tệp tin của tổ chức tại Azure Files, sau đó đồng bộ chúng xuống các máy chủ Windows (Windows Servers) ở khắp mọi nơi (tại văn phòng hoặc trên cloud)."
,"What is the purpose of Azure File Sync's cloud tiering feature?
a. To automatically delete files from synchronized servers
b. To increase synchronization speed
c. To move rarely accessed files to the cloud to free up local storage
d. To compress synchronized files for faster transfer",To move rarely accessed files to the cloud to free up local storage,"a. To automatically delete files: Sai. File không bị xóa mất; chúng vẫn hiển thị trên máy chủ nhưng được chuyển sang dạng ""liên kết"" (pointer) dẫn lên đám mây.
b. To increase synchronization speed: Sai. Mục đích chính là quản lý dung lượng, không phải tốc độ đồng bộ.
c. To move rarely accessed files: ĐÚNG. Cloud Tiering giúp máy chủ tại chỗ của bạn đóng vai trò như một bộ nhớ đệm (cache). Những file hay dùng (hot) được giữ lại trên ổ cứng, còn những file ít dùng (cold) sẽ được đẩy lên Azure Files để giải phóng bộ nhớ cục bộ.
d. To compress synchronized files: Sai. Tính năng này không nhằm mục đích nén file."
,"You are designing the data processing pipeline for a cab company using Azure Data Factory. The company has two fleets of cars: electric and gas. You have to branch the pipeline based on the type of car. Which transformation would you use?
a. Conditional Split
b. New Branch
c. Split
d. Join",Conditional Split,"Conditional Split – This is used to split the input data into multiple streams based on a condition. In our use case, the condition could be the type of car.
Join – Used to merge two inputs into one based on a Join condition, so will not work for our use case.
Split – There is no such transformation in ADF.
New Branch – To replicate the current source as is to perform a different set of ransformations on the same source of data. Hence, this will also not work for our use case."
,"Khả năng mở rộng & độ co giãn trong IaaS
a. Cung cấp và triển khai tài nguyên trong 1 thời gian ngắn
b. Có thể truy xuất tài nguyên ngay cả khi bị lỗi phần cứng
c. Chức năng hệ thống giống nhau cho dù quy mô lớn hay nhỏ
d. Tăng giảm số lượng tài nguyên cần thiết","- Tăng giảm số lượng tài nguyên cần thiết, 
- Cung cấp và triển khai tài nguyên trong 1 thời gian ngắn, 
- Chức năng hệ thống giống nhau cho dù quy mô lớn hay nhỏ",
,"What is Azure Key Vault primarily used for?
a.Virtual machine deployment
b. Secret and key management
c. Network security
d. Database management",Secret and key management,
,"Which file format is used for defining Azure Resource Manager templates?
a. YAML
b. JSON
c. CSV
d. XML",JSON,
,"What is the main benefit of using Azure Resource Manager templates for deployment?
a. Resources can be deployed consistently and repeatedly
b. It provides a limited set of resources for deployment
c. Manual intervention is required for each resource deployment
d. Resources are automatically deployed without any control",Resources can be deployed consistently and repeatedly,
,"You recommend a system to use:
1. IOT Hub to consume the data
2. Azure Stream Analytics to process the fraud alerts
3. Azure Databricks to store the monthly data and generate the reports
4. Power BI to display the monthly report
Select one:
True
False",False',We cannot use Azure Databricks to store the monthly data. It is not a storage service; it is a compute service.
,"You are a data engineer for an online bookstore. The bookstore processes hundreds of millions of transactions every month. It has a Catalog table of about 100 MB. Choose the optimal distribution for the Catalog table and complete the following script:
CREATE TABLE Catalogue (
BookID VARCHAR 50,
BookName VARCHAR 100,
ISBN: VARCHAR 100,
FORMAT: VARCHAR 20

) WITH
CLUSTERED COLUMNSTORE INDEX,
DISTRIBUTION = ___________
)

a. PARTITION
b. ROUND-ROBIN
c. REPLICATE
d. HASH",REPLICATE,"a. PARTITION: Sai. Đây không phải là một kiểu phân tán (distribution), mà là một cách chia nhỏ dữ liệu bên trong một bảng.
b. ROUND-ROBIN: Sai. Thường dùng cho bảng tạm (staging) để nạp dữ liệu nhanh, không tối ưu cho các phép nối (join) trong bảng danh mục.
c. REPLICATE: ĐÚNG. Bảng Catalogue có kích thước 100 MB (khá nhỏ). Khi dùng REPLICATE, một bản sao đầy đủ của bảng này sẽ được lưu trữ trên mỗi node tính toán. Điều này giúp các phép JOIN với bảng giao dịch (fact table) khổng lồ diễn ra cực nhanh vì không cần di chuyển dữ liệu qua mạng.
d. HASH: Sai. Thường dùng cho các bảng lớn (hàng trăm triệu dòng) để chia đều dữ liệu dựa trên một cột khóa."
,"What are the two main sections of an Azure Resource Manager template?
a. Resources and Parameters
b. Parameters and Outputs
c. Functions and Outputs
d. Properties and Variables",Parameters and Outputs,
,"Trong các thuật ngữ sau, thuật ngũ nào dùng nói máy ảo
a. Host
b. client
c. virtual
d. Guest",Guest,"a. Host (Sai) → Host là máy vật lý chạy các máy ảo.
b. client (Sai) → Client là máy/người dùng truy cập dịch vụ.
c. virtual (Sai) → Chỉ là tính từ, không phải thuật ngữ chỉ máy ảo.
d. Guest (Đúng) → Guest dùng để chỉ máy ảo chạy trên host."
,"Ý nghĩa của hiệu suất và tối ưu trong IaaS
a. Sử dụng nguồn tài nguyên hiệu quả phục vụ cho nhiều khách hàng
b. Tài nguyên vật lý kết nối lại với nhau thành một hệ thống lớn cung cấp khả năng tính toán hiệu suất cao thông qua kết nối song song
c. Tài nguyên cơ sở hạ tầng ảo sẽ được định cấu hình động để triển khai tối ưu giữa các tài nguyên vật lý.
d. Các nguồn lực cơ sở hạ tầng được cung cấp có thể được phân bổ lại hoặc nhân bản một cách dễ dàng","- Sử dụng nguồn tài nguyên hiệu quả phục vụ cho nhiều khách hàng, 
- Tài nguyên vật lý kết nối lại với nhau thành một hệ thống lớn cung cấp khả năng tính toán hiệu suất cao thông qua kết nối song song, 
- Tài nguyên cơ sở hạ tầng ảo sẽ được định cấu hình động để triển khai tối ưu giữa các tài nguyên vật lý.",
,"Kỹ thuật giả lập
a. Mô phỏng môi trường trong trường hợp kiến trúc tập lệnh máy ảo và máy khách giống nhau 1 phần
b. Mô phỏng môi trường trong trường hợp kiến trúc tập lệnh máy ảo và máy khách trên một CPU
c. Mô phỏng môi trường trong trường hợp kiến trúc tập lệnh máy ảo và máy khách giống nhau
d. Mô phỏng môi trường trong trường hợp kiến trúc tập lệnh máy ảo và máy khách khác nhau",Mô phỏng môi trường trong trường hợp kiến trúc tập lệnh máy ảo và máy khách khác nhau,
,"What is the primary purpose of Azure Resource Manager (ARM) templates?
a. To automate the deployment of Azure resources
b. To monitor resource usage in Azure
c. To provide a graphical user interface for Azure management
d. To manage virtual machine configurations",To automate the deployment of Azure resources,"a. To automate the deployment: ĐÚNG. ARM templates là các tệp mã (JSON hoặc Bicep) cho phép bạn định nghĩa toàn bộ hạ tầng dưới dạng code (Infrastructure as Code - IaC). Bạn có thể dùng một tệp này để triển khai lặp lại cùng một môi trường giống hệt nhau một cách tự động và nhất quán.
b. To monitor resource usage: Sai. Việc giám sát tài nguyên là nhiệm vụ của Azure Monitor.
c. To provide a GUI: Sai. Đây là các tệp văn bản. Giao diện đồ họa để quản lý Azure là Azure Portal.
d. To manage VM configurations: Sai một phần. Mặc dù ARM template có thể cài đặt máy ảo, nhưng nhiệm vụ chính của nó là triển khai hạ tầng tổng thể, còn việc quản lý bên trong hệ điều hành thường dùng Azure Policy hoặc Desired State Configuration (DSC)."
,"Let's assume that you have a Customer table with sensitive information in it. You want to hide the Social Security Number (SSN) details from LowPrivUser. Here is the table definition: CREATE TABLE Customer
(
CustomerID VARCHAR (20),
Name VARCHAR (200),
SSN VARCHAR (9) NOT NULL,
Phone VARCHAR (12) NULL,
);
Complete the following code snippet:
GRANT ___________ Customer (CustomerID, Name, Phone) TO LowPrivUser';

a. ENCRYPT ON
b. ALTER ON
c. SELECT ON
d. MASK ON",SELECT ON,"SELECT ON – Gives permission to run the SELECT queries only on CustomerID, Name, and Phone, which is what is required in this use case.
ALTER ON – Gives permission to change the table itself – this is not what is asked in the question.
MASK ON – Invalid syntax; there is no syntax called MASK ON.
ENCRYPT ON – Invalid syntax; there is no syntax called ENCRYPT ON."
,"What is the role of the ""outputs"" section in an ARM template?
a. It defines the dependencies between resources
b. It specifies the output values of the template
c. It specifies the input values required during deployment
d. It defines the structure of the template",It specifies the output values of the template,
,"What type of encryption does Azure Disk Encryption provide for Azure virtual machines?
a. RSA encryption
b. AES encryption
c. TLS encryption
d. SSL encryption",RSA encryption,
,"Azure File Sync is compatible with which types of servers?
a. Only Windows servers
b. Only Linux servers
c. Both Linux and Windows servers
d. Only macOS servers",Both Linux and Windows servers,
,,,
Quiz 5,,,
,"Cho biết có bao nhiêu cách hiện thực của bộ mô phỏng
a. Thông dịch
b. Bộ chuyển dịch nhị phân tĩnh
c. Thư viện động
d. Bộ chuyển dịch nhị phân động","Thông dịch, Bộ chuyển dịch nhị phân tĩnh, Bộ chuyển dịch nhị phân động","a. Thông dịch (Đúng) → Bộ mô phỏng có thể hiện thực dưới dạng thông dịch từng lệnh của chương trình gốc.
b. Bộ chuyển dịch nhị phân tĩnh (Đúng) → Có thể chuyển toàn bộ chương trình gốc sang chương trình đích trước khi chạy.
c. Thư viện động (Sai) → Thư viện động là cách phân phối chức năng, không phải một cách hiện thực bộ mô phỏng.
d. Bộ chuyển dịch nhị phân động (Đúng) → Có thể dịch từng đoạn mã trong quá trình chạy, giúp mô phỏng hiệu quả hơn."
,"Bộ chuyển dịch nhị phân tĩnh
a. Dịch từng câu lệnh
b. Dịch tuần tự từng câu lệnh
c. Dịch cả khối lệnh và kết hợp kỹ thuật tối ưu lúc biên dịch chương trình
d. Kết hợp dịch từng lệnh và khối lệnh, bên cạnh đó sử dụng kỹ thuật tối ưu lúc biên dịch chương trình",Dịch cả khối lệnh và kết hợp kỹ thuật tối ưu lúc biên dịch chương trình,"a. Dịch từng câu lệnh (Sai) → Đây là đặc trưng của bộ thông dịch hoặc bộ chuyển dịch nhị phân động, không phải tĩnh.
b. Dịch tuần tự từng câu lệnh (Sai) → Cũng không đúng, vì tĩnh dịch toàn bộ chương trình trước khi chạy.
c. Dịch cả khối lệnh và kết hợp kỹ thuật tối ưu lúc biên dịch chương trình (Đúng) → Bộ chuyển dịch nhị phân tĩnh dịch toàn bộ chương trình hoặc từng khối lệnh trước khi chạy, đồng thời áp dụng các tối ưu khi biên dịch.
d. Kết hợp dịch từng lệnh và khối lệnh, bên cạnh đó sử dụng kỹ thuật tối ưu lúc biên dịch chương trình (Sai) → Dịch từng lệnh là đặc trưng của động, nên không đúng với tĩnh."
,"Azure Automation accounts allow for the execution of PowerShell runbooks at a predefined schedule.
Select one:
True
False","""True""",You can define one or more schedules within an Azure Automation Account and then link these to a Runbook.
,"How does Azure Databricks handle large volumes of data?
a. By storing data in memory for fast access
b. By compressing data to reduce storage requirements
c. By partitioning data across multiple nodes for parallel processing
d. By discarding old data to make room for new data",By partitioning data across multiple nodes for parallel processing,
,"Reorder the following Azure DevOps concepts in such a way that each element acts as a container for the next concept in the list: (chọn phần nằm ở top)
a. Organization
b. Region
c. Project
d. Work item",Work item,"An Azure DevOps organization is the top-level construct that can be created by users. Every organization is in precisely one region, which is maintained by Microsoft. Within an organization, one or more projects can be created. In turn, a project can contain many work items, such as user stories, features, or epics."
,"Which Azure service is integrated with Azure Databricks for data storage and processing?
a. Azure Cosmos DB
b. Azure SQL Database
c. Azure Data Factory
d. Azure Data Lake Storage",Azure Data Lake Storage,"a. Azure Cosmos DB (Sai) → Cosmos DB là cơ sở dữ liệu NoSQL, không phải dịch vụ lưu trữ chính cho Databricks.
b. Azure SQL Database (Sai) → SQL Database là cơ sở dữ liệu quan hệ, không phải giải pháp lưu trữ trực tiếp cho Databricks.
c. Azure Data Factory (Sai) → Data Factory là dịch vụ chuyển dữ liệu (ETL/ELT), không phải nơi lưu trữ trực tiếp.
d. Azure Data Lake Storage (Đúng) → Azure Databricks tích hợp trực tiếp với Data Lake Storage để lưu trữ và xử lý dữ liệu lớn, hỗ trợ phân tích và AI."
,"Which type of container technology is supported by Azure Container Instances?
a. Kubernetes
b. Docker
c. Mesos
d. OpenShift",Docker,
,"Which Azure CLI command is used to create a new Azure Container Instance?
a. az container create
b. az container new
c. az instance new
d. az instance create",az container create,
,"Các câu lệnh dùng để quản lý trạng thái của hệ thống (VMCS - Virtual Machine Control Structure), khi hệ thống rơi vào State Area, cặp câu lệnh nào dùng để lưu trữ trạng thái của hệ thống máy ảo và máy thực.
a. VM-Entry and VM-Exit process
b. VM-Entry & VM-Exit
c. VM-Context & VM-Control
d. VM Non-Root Mode & VM Root Mode",VM-Entry & VM-Exit,"a. VM-Entry and VM-Exit process (Sai) → Đây chỉ mô tả quá trình vào/ra chế độ ảo hóa, không trực tiếp là câu lệnh lưu trữ trạng thái.
b. VM-Entry & VM-Exit (Đúng) → Đây là cặp câu lệnh dùng để lưu trữ trạng thái của hệ thống, bao gồm trạng thái máy ảo và máy thực, khi chuyển giữa VM Non-Root Mode và VM Root Mode.
c. VM-Context & VM-Control (Sai) → Không phải câu lệnh, chỉ là cấu trúc quản lý trạng thái.
d. VM Non-Root Mode & VM Root Mode (Sai) → Đây là chế độ hoạt động của CPU trong ảo hóa, không phải câu lệnh lưu trạng thái."
,"Các vấn đề gặp phải khi thực hiện ánh xạ thanh ghi
a. Ánh xạ các thanh ghi đặc biệt
b. Số lượng thanh ghi máy thực nhiều hơn máy ảo
c. Sử dụng phần mềm ánh xạ thanh ghi
d. Số lượng thanh ghi máy thực ít hơn máy ảo","Số lượng thanh ghi máy thực ít hơn máy ảo, 
Ánh xạ các thanh ghi đặc biệt","a. Ánh xạ các thanh ghi đặc biệt (Đúng) → Một số thanh ghi đặc biệt của CPU khó ánh xạ trực tiếp sang thanh ghi ảo, cần xử lý đặc biệt.
b. Số lượng thanh ghi máy thực nhiều hơn máy ảo (Sai) → Đây không phải vấn đề; thừa thanh ghi thực không gây khó khăn.
c. Sử dụng phần mềm ánh xạ thanh ghi (Sai) → Đây là cách giải quyết, không phải vấn đề gặp phải.
d. Số lượng thanh ghi máy thực ít hơn máy ảo (Đúng) → Khi thanh ghi thực ít hơn thanh ghi ảo, phải dùng kỹ thuật spill/fill để lưu/khôi phục thanh ghi, gây phức tạp."
,"What is the main benefit of using Text Analytics in Azure Cognitive Services?
a. Ability to process structured data
b. Real-time analysis of text data
c. Integration with other Azure services
d. Automatic translation of text between languages",Integration with other Azure services,
,"What role does Apache Spark play in Azure Databricks?
a. It is the visualization tool for data analysis
b. It is the storage layer for data in Databricks
c. It is the processing engine for data manipulation and analysis
d. It is the authentication and access control mechanism for Databricks",It is the processing engine for data manipulation and analysis,"a. It is the visualization tool for data analysis (Sai) → Spark không dùng để trực quan hóa; Databricks cung cấp notebooks và dashboard cho việc này.
b. It is the storage layer for data in Databricks (Sai) → Lưu trữ dữ liệu được thực hiện bởi Azure Data Lake Storage hoặc các dịch vụ lưu trữ khác, không phải Spark.
c. It is the processing engine for data manipulation and analysis (Đúng) → Apache Spark là công cụ xử lý dữ liệu trong Databricks, dùng cho ETL, phân tích, machine learning, và xử lý dữ liệu lớn.
d. It is the authentication and access control mechanism for Databricks (Sai) → Quản lý quyền truy cập và bảo mật được Databricks và Azure thực hiện, không phải Spark."
,"Khi CPU chạy ở chế độ usermode, những trap nào có thể xảy ra
a. Exception
b. Hardware Interrupts
c. System call
d. Error","System call, Hardware Interrupts, Exception","a. Exception (Đúng) → Khi CPU ở usermode, các exception (như chia cho 0, lỗi trang bộ nhớ) có thể xảy ra và được hệ thống xử lý.
b. Hardware Interrupts (Đúng) → Ngắt phần cứng có thể xảy ra bất cứ lúc nào, kể cả khi CPU ở usermode.
c. System call (Đúng) → Khi chương trình người dùng muốn yêu cầu dịch vụ từ kernel, system call sẽ tạo trap sang kernel mode.
d. Error (Sai) → “Error” ở đây không phải loại trap cụ thể; lỗi có thể được biểu diễn qua exception hoặc trap nhưng không phải là một trap riêng."
,"You work for a cab company that is storing trip data in Parquet format and fare data in CSV format. You are required to generate a report to list all the trips aggregated using the City field. The report should contain all fields from both files.
Trip file format (Parquet):
tripId, driverId, City, StartTime, EndTime
Fare file format (CSV):
tripId, Fare
Fill in the blanks of the following code snippet to achieve the preceding objective:
%%scala
val fromcsv = spark.read.options(Map(""inferSchema""->""true"",""header""->""true""))
.csv(""abfss://path/to/csv/*"")
val fromparquet = spark.read.options(Map(""inferSchema""->""true""))
.parquet(""abfss:// abfss://path/to/parquet/*"")
val joinDF = fromcsv.________(fromparquet,fromcsv(""tripId"") ===
fromparquet(""tripId""),""inner"")._________(""City"")

a. join
b. select
c. orderBy
d. groupBy","join, groupBy",
,"What is the primary benefit of using Azure Container Instances?
a. Higher container density
b. Built-in container security
c. Simplified container orchestration
d. Lower container startup time",Lower container startup time,"a. Higher container density (Sai) → Container density thường liên quan đến Kubernetes hoặc VM tối ưu hóa, không phải lợi ích chính của ACI.
b. Built-in container security (Sai) → ACI có bảo mật cơ bản, nhưng đây không phải lợi ích chính nổi bật.
c. Simplified container orchestration (Sai) → ACI không cung cấp orchestration nâng cao; Kubernetes/Azure Kubernetes Service (AKS) làm việc này.
d. Lower container startup time (Đúng) → Azure Container Instances cho phép khởi động container gần như ngay lập tức, đây là lợi ích chính so với triển khai container trên VM hoặc cluster."
,"Which Azure service provides the ability to analyze large volumes of unstructured text data?
a. Azure Speech Services
b. Azure Translator Text API
c. Azure Text Analytics
d. Azure Machine Learning",Azure Text Analytics,
,"What is Azure Databricks primarily used for?
a. Data storage
b. Social media integration
c. Data import and analysis
d. Image processing",Data import and analysis,
,"How does Text Analytics handle multi-language text data?
a. It automatically detects the language of the text and performs analysis accordingly
b. It requires language-specific models to be specified for each text
c. It only supports analysis in English
d. It cannot analyze multi-language text data",It automatically detects the language of the text and performs analysis accordingly,
,"Which type of data can be analyzed using Text Analytics?
a. Both structured and unstructured data
b. Numerical data only
c. Unstructured data only
d. Structured data only",Unstructured data only,
,"One disadvantage of IaC is that you have to put sensitive information in source control as ARM template parameter files.
Select one:
True
False","""False""","ARM template parameters allow the referencing of values in an Azure Key Vault, so as to prevent users from having to enter secrets or other sensitive information in source control. At the time of deployment, the secrets are retrieved and used within Azure, provided the identity that starts the operation has access to that key vault."
,"What type of data sources can be imported into Azure Databricks?
a. Numerical data only
b. Unstructured data only
c. Both structured and unstructured data
d. Structured data only",Both structured and unstructured data,
,"You have a table as follows in Azure SQL:

CREATE TABLE Books {
BookID VARCHAR(20) NOT NULL,
CategoryID VARCHAR (20) NOT NULL,
BookName VARCHAR (100),
AuthorID VARCHAR (20),
ISBN VARCHAR (40)
}

Assume there are 100 million entries in this table. CategoryID has about 25 entries and 60% of the books align to about 20 categories. You need to optimize the performance of this table for queries that aggregate on CategoryID. What partitioning technique would you use and what key would you choose?

a. Vertical partitioning with CategoryID
b. Horizontal partitioning with CategoryID
c. Vertical partitioning with BookID
d. Horizontal partitioning with BookID",Horizontal partitioning with BookID,
,"Which container registry can be used to store container images for use with Azure Container Instances?
a. Amazon Elastic Container Registry
b. Azure Container Registry
c. Google Container Registry
d. Docker Hub",Azure Container Registry,
,"What is the primary goal of autoscaling?
a. To ensure the long-term reliability of a particular virtual resource
b. To ensure the long-term reliability of a particular physical resource
c. To ensure that a predefined service level is maintained regardless of external demand
d. To orchestrate the use of multiple parallel resources to direct incoming user requests",To ensure that a predefined service level is maintained regardless of external demand,
,"Các vấn đề gặp phải với cải thiện hiệu suất trong ảo hóa CPU
a. Tối ưu việc sử dụng các thanh ghi
b. Luồng thực thi chương trình
c. Chuyển ngữ cảnh của chương trình trong máy ảo
d. Kỹ thuật tối ưu mã máy đích","- Luồng thực thi chương trình, 
- Kỹ thuật tối ưu mã máy đích",
,"What is the maximum number of containers that can be deployed in a single Azure Container Group?
a. 10
b. 100
c. There is no hard limit
d. 1000",There is no hard limit,
,"Which of the following tools cannot be used for managing Azure resources?
a. Azure PowerShell
b. Azure DevOps CLI
c. Terraform
d. CloudFormation",CloudFormation,"a. Azure PowerShell (Sai) → Azure PowerShell là công cụ chính để quản lý tài nguyên Azure.
b. Azure DevOps CLI (Sai) → Có thể dùng CLI để triển khai và quản lý tài nguyên thông qua DevOps pipelines.
c. Terraform (Sai) → Terraform hỗ trợ Azure provider, có thể quản lý và triển khai tài nguyên Azure.
d. CloudFormation (Đúng) → CloudFormation chỉ dùng để quản lý tài nguyên AWS, không thể dùng trực tiếp cho Azure."
,"What is Azure Container Instances primarily used for?
a. Running containers in the cloud
b. Managing Kubernetes clusters
c. Monitoring container performance
d. Storing container images",Running containers in the cloud,"a. Running containers in the cloud (Đúng) → Azure Container Instances (ACI) cho phép bạn chạy container trực tiếp trên cloud mà không cần quản lý VM hay cluster.
b. Managing Kubernetes clusters (Sai) → Quản lý Kubernetes cluster là nhiệm vụ của Azure Kubernetes Service (AKS), không phải ACI.
c. Monitoring container performance (Sai) → ACI có thể tích hợp giám sát, nhưng đây không phải mục đích chính.
d. Storing container images (Sai) → Lưu trữ container images thực hiện bằng Azure Container Registry (ACR), không phải ACI."
,"What is the role of Azure Blob Storage in Azure Databricks?
a. To store temporary data generated during data processing
b. To store raw data files and datasets for analysis
c. To store metadata about Databricks jobs and clusters
d. To store log files and diagnostic information",To store raw data files and datasets for analysis,
,"What is the primary use case for Azure Container Instances?
a. Real-time stream processing
b. Batch processing
c. Long-running applications
d. Stateful applications",Batch processing,"a. Real-time stream processing (Sai) → ACI có thể chạy container nhanh chóng nhưng không tối ưu cho xử lý luồng thời gian thực; thường dùng các dịch vụ như Azure Stream Analytics hoặc AKS.
b. Batch processing (Đúng) → ACI lý tưởng cho các công việc tạm thời hoặc batch, chạy container ngắn hạn, stateless, không cần quản lý hạ tầng.
c. Long-running applications (Sai) → Dù có thể chạy, nhưng ACI không tối ưu cho ứng dụng liên tục, dài hạn; AKS hoặc VM sẽ phù hợp hơn.
d. Stateful applications (Sai) → ACI chủ yếu chạy stateless container, không thích hợp cho ứng dụng cần lưu trữ trạng thái lâu dài."
,,,
Quiz 6,,,
,"Trong các kỹ thuật sau, kỹ thuật nào được hỗ trợ bởi phần cứng:
a. Shadow page table
b. Extended page table
c. virtual PTBR
d. Page table",Extended page table,"a. Shadow page table (Sai) → Đây là kỹ thuật do phần mềm quản lý, CPU không trực tiếp hỗ trợ.
b. Extended page table (Đúng) → EPT là kỹ thuật được CPU hỗ trợ phần cứng (Intel VT-x) để ánh xạ physical → guest physical trong ảo hóa.
c. Virtual PTBR (Sai) → Đây là cơ chế phần mềm để quản lý bảng trang ảo, không phải hỗ trợ phần cứng.
d. Page table (Sai) → Bảng trang là cấu trúc quản lý bộ nhớ, nhưng việc ánh xạ từ guest → host trong ảo hóa không phải lúc nào cũng được phần cứng hỗ trợ; cần EPT hoặc shadow table."
,"Hyper-call được sử dụng để giao tiếp các thành phần nào trong ảo hóa IO
a. Device Driver & VMM IO Component
b. Guest OS & Device Driver
c. Application & Guest OS
d. VMM IO Component & Physical Device",Device Driver & VMM IO Component,"a. Device Driver & VMM IO Component (Đúng) → Hyper-call là cơ chế để guest OS (thông qua device driver) giao tiếp với VMM IO component khi thực hiện các thao tác I/O trong môi trường ảo hóa.
b. Guest OS & Device Driver (Sai) → Guest OS giao tiếp trực tiếp với driver, không cần hyper-call.
c. Application & Guest OS (Sai) → Application gọi system call tới OS, không dùng hyper-call.
d. VMM IO Component & Physical Device (Sai) → VMM truy cập thiết bị vật lý trực tiếp, không qua hyper-call."
,"Một file lớn chia ra thành các thành phần nhỏ hơn để lữu trữ. Trong file system level chia ra file lớn thành các:
a. i-node
b. block
c. chunks
d. binary",chunks,
,"Thuộc tính nào trong ảo hóa bộ lưu trữ ảnh hưởng đến tăng hay giảm quy mô lưu trữ dữ liệu
a. Scalability
b. Manageability
c. Security
d. Availability",Scalability,
,"Client gửi request ghi dữ liệu xuống server lưu trữ và các server thực hiện nhân bản dữ liệu theo cơ chế replication đây là cách nhân bản theo cơ chế:
a. Asynchronous
b. Non-Blocking
c. Blocking
d. Synchronous",Synchronous,"a. Asynchronous (Sai) → Trong asynchronous replication, client ghi dữ liệu mà không cần chờ các bản sao hoàn tất, không đảm bảo đồng bộ ngay lập tức.
b. Non-Blocking (Sai) → Đây không phải thuật ngữ chuẩn cho cơ chế replication.
c. Blocking (Sai) → Không phải cách gọi phổ biến trong replication.
d. Synchronous (Đúng) → Synchronous replication yêu cầu client ghi dữ liệu và các server nhân bản phải hoàn tất đồng bộ trước khi ghi thành công, đảm bảo dữ liệu nhất quán trên tất cả các bản sao."
,"Kiến trúc lưu trữ nào truy cập trực tiếp vào hệ thống lữu trữ dữ liệu không qua hệ thống mạng
a. MAC
b. DAS - Direct Attached Storage
c. SAN - Storage Area Network
d. NAS - Network Attached Storage",DAS - Direct Attached Storage,"a. MAC (Sai) → MAC liên quan đến địa chỉ mạng, không phải kiến trúc lưu trữ.
b. DAS - Direct Attached Storage (Đúng) → DAS là lưu trữ gắn trực tiếp vào máy chủ, truy cập dữ liệu mà không qua mạng.
c. SAN - Storage Area Network (Sai) → SAN sử dụng mạng chuyên dụng để truy cập lưu trữ.
d. NAS - Network Attached Storage (Sai) → NAS truy cập lưu trữ qua mạng TCP/IP."
